date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,ATF_DF,tax,total_government_tax,NRs_per_KL,41051.14,66,41051.14,NRs_per_KL,NRs,41.05114,41051.14,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,total_government_tax,NRs_per_cylinder,324.95,67,324.95,NRs_per_cylinder,NRs,,,324.95,kept_per_cylinder,
2026-04-03,Petrol,cost,ex_depot_price_old_irs,IRs_per_KL,70051.33,68,70051.33,IRs_per_KL,IRs,70.05133,70051.33,,converted_from_per_KL,
2026-04-03,Diesel,cost,ex_depot_price_old_irs,IRs_per_KL,92135.96,69,92135.96,IRs_per_KL,IRs,92.13596,92135.96,,converted_from_per_KL,
2026-04-03,Kerosene,cost,ex_depot_price_old_irs,IRs_per_KL,55940.2,70,55940.2,IRs_per_KL,IRs,55.9402,55940.2,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,ex_depot_price_old_irs,IRs_per_KL,56007.63,71,56007.63,IRs_per_KL,IRs,56.00763,56007.63,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,ex_depot_price_old_irs,IRs_per_KL,56007.63,72,56007.63,IRs_per_KL,IRs,56.00763,56007.63,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,ex_depot_price_old_irs,IRs_per_cylinder,936.4,73,936.4,IRs_per_cylinder,IRs,,,936.4,kept_per_cylinder,
2026-04-03,Petrol,cost,ex_depot_price_increase_irs,IRs_per_KL,25973.07,74,25973.07,IRs_per_KL,IRs,25.97307,25973.07,,converted_from_per_KL,
2026-04-03,Diesel,cost,ex_depot_price_increase_irs,IRs_per_KL,59276.32,75,59276.32,IRs_per_KL,IRs,59.27632,59276.32,,converted_from_per_KL,
2026-04-03,Kerosene,cost,ex_depot_price_increase_irs,IRs_per_KL,67633.46,76,67633.46,IRs_per_KL,IRs,67.63346,67633.46,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,ex_depot_price_increase_irs,IRs_per_KL,77303.95,77,77303.95,IRs_per_KL,IRs,77.30395,77303.95,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,ex_depot_price_increase_irs,IRs_per_KL,77303.95,78,77303.95,IRs_per_KL,IRs,77.30395,77303.95,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,ex_depot_price_increase_irs,IRs_per_cylinder,118.86,79,118.86,IRs_per_cylinder,IRs,,,118.86,kept_per_cylinder,
2026-04-03,Petrol,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,41.6,80,41.6,NRs_per_liter,NRs,41.6,41600,,converted_from_per_liter,
2026-04-03,Diesel,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,94.93,81,94.93,NRs_per_liter,NRs,94.93,94930,,converted_from_per_liter,
2026-04-03,Kerosene,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,108.31,82,108.31,NRs_per_liter,NRs,108.31,108310,,converted_from_per_liter,
2026-04-03,ATF_DP,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,123.8,83,123.8,NRs_per_liter,NRs,123.8,123800,,converted_from_per_liter,
2026-04-03,ATF_DF,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,123.8,84,123.8,NRs_per_liter,NRs,123.8,123800,,converted_from_per_liter,
2026-04-03,LP_Gas,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_cylinder,190.36,85,190.36,NRs_per_cylinder,NRs,,,190.36,kept_per_cylinder,
2026-04-03,Petrol,cost,ex_depot_price_new_irs,IRs_per_KL,96024.41,86,96024.41,IRs_per_KL,IRs,96.02441,96024.41,,converted_from_per_KL,
2026-04-03,Diesel,cost,ex_depot_price_new_irs,IRs_per_KL,151412.27,87,151412.27,IRs_per_KL,IRs,151.41227,151412.27,,converted_from_per_KL,
2026-04-03,Kerosene,cost,ex_depot_price_new_irs,IRs_per_KL,123573.65,88,123573.65,IRs_per_KL,IRs,123.57365,123573.65,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,ex_depot_price_new_irs,IRs_per_KL,133311.58,89,133311.58,IRs_per_KL,IRs,133.31158,133311.58,,converted_from_per_KL,
