date,ioc_price_effective_date,fuel_type,depot,category,variable_name,display_name,value,unit
2026-04-03,2026-04-01,ATF_DP,Barauni,noc_expense,insurance_premium,"Insurance Premium",0.1281,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,noc_expense,insurance_premium,"Insurance Premium",0.1281,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,noc_expense,insurance_premium,"Insurance Premium",1.77,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,noc_expense,technical_loss,"Technical Loss",1.7224,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,noc_expense,technical_loss,"Technical Loss",1.6212,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,noc_expense,technical_loss,"Technical Loss",1.3474,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,noc_expense,technical_loss,"Technical Loss",1.3832,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,noc_expense,technical_loss,"Technical Loss",1.3832,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,noc_expense,technical_loss,"Technical Loss",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",2.4227,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",2.3747,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",2.0742,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",2.1193,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",2.1193,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,noc_expense,total_noc_expenses,"Total NOC Expenses",10.41,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,transportation,transportation_cost,"Transportation Cost",6.6735,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,transportation,transportation_cost,"Transportation Cost",3.2216,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,transportation,transportation_cost,"Transportation Cost",6.6735,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,transportation,transportation_cost,"Transportation Cost",6.7286,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,transportation,transportation_cost,"Transportation Cost",6.7286,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,transportation,transportation_cost,"Transportation Cost",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,landed_cost,"Landed Cost",206.6243,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,landed_cost,"Landed Cost",276.4281,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,landed_cost,"Landed Cost",220.4959,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,landed_cost,"Landed Cost",227.8699,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,landed_cost,"Landed Cost",263.3975,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,landed_cost,"Landed Cost",1811.51,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",172.2642,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",155.8878,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",156.4332,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",222.1239,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",1.785,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,noc_ex_depot_price_wo_vat,"NOC Ex-Depot Price (w/o VAT)",1395.14,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",6.4969,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",5.1741,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",4.6288,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,dealer_expenses,"Petroleum Dealer/Gas Company Expenses",301.01,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",213.1212,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",281.6023,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",225.1247,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",227.8699,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",263.3975,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,total_cost_wo_vat,"Total Cost to NOC (w/o VAT)",2112.52,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,vat_amount,"VAT Amount",23.2389,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,vat_amount,"VAT Amount",20.9381,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,vat_amount,"VAT Amount",20.9381,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,vat_amount,"VAT Amount",28.8761,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,vat_amount,"VAT Amount",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,vat_amount,"VAT Amount",213.85,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",236.3602,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",302.5403,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",246.0627,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",256.746,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",263.3975,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,total_cost_with_vat_per_kl,"Total Cost to NOC (with VAT) per KL/Cyl",2326.37,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",236.36,NRs_per_liter
