date,fuel_type,variable_group,variable_name,unit,value
2026-04-03,LP_Gas,cost,total_noc_expenses,NRs_per_cylinder,10.41
2026-04-03,Petrol,cost,transportation,NRs_per_KL,6673.49
2026-04-03,Diesel,cost,transportation,NRs_per_KL,3221.64
2026-04-03,Kerosene,cost,transportation,NRs_per_KL,6673.49
2026-04-03,ATF_DP,cost,transportation,NRs_per_KL,6728.64
2026-04-03,ATF_DF,cost,transportation,NRs_per_KL,6728.64
2026-04-03,LP_Gas,cost,transportation,NRs_per_cylinder,0
2026-04-03,Petrol,cost,petroleum_dealer_expenses,NRs_per_KL,6496.91
2026-04-03,Diesel,cost,petroleum_dealer_expenses,NRs_per_KL,5174.13
2026-04-03,Kerosene,cost,petroleum_dealer_expenses,NRs_per_KL,4628.78
2026-04-03,ATF_DP,cost,petroleum_dealer_expenses,NRs_per_KL,0
2026-04-03,ATF_DF,cost,petroleum_dealer_expenses,NRs_per_KL,0
2026-04-03,LP_Gas,cost,petroleum_dealer_expenses,NRs_per_cylinder,301.01
2026-04-03,Petrol,cost,landed_cost,NRs_per_KL,206624.3
2026-04-03,Diesel,cost,landed_cost,NRs_per_KL,276428.13
2026-04-03,Kerosene,cost,landed_cost,NRs_per_KL,220495.89
2026-04-03,ATF_DP,cost,landed_cost,NRs_per_KL,227869.9
2026-04-03,ATF_DF,cost,landed_cost,NRs_per_KL,263397.54
2026-04-03,LP_Gas,cost,landed_cost,NRs_per_cylinder,1811.51
2026-04-03,Petrol,cost,total_cost_noc_without_vat,NRs_per_KL,213121.21
2026-04-03,Diesel,cost,total_cost_noc_without_vat,NRs_per_KL,281602.26
2026-04-03,Kerosene,cost,total_cost_noc_without_vat,NRs_per_KL,225124.67
2026-04-03,ATF_DP,cost,total_cost_noc_without_vat,NRs_per_KL,227869.9
2026-04-03,ATF_DF,cost,total_cost_noc_without_vat,NRs_per_KL,263397.54
2026-04-03,LP_Gas,cost,total_cost_noc_without_vat,NRs_per_cylinder,2112.52
2026-04-03,Petrol,cost,total_cost_noc_with_vat,NRs_per_KL,236360.15
2026-04-03,Diesel,cost,total_cost_noc_with_vat,NRs_per_KL,302540.31
2026-04-03,Kerosene,cost,total_cost_noc_with_vat,NRs_per_KL,246062.72
2026-04-03,ATF_DP,cost,total_cost_noc_with_vat,NRs_per_KL,256746.01
2026-04-03,ATF_DF,cost,total_cost_noc_with_vat,NRs_per_KL,263397.54
2026-04-03,LP_Gas,cost,total_cost_noc_with_vat,NRs_per_cylinder,2326.37
2026-04-03,Petrol,cost,total_cost_noc_per_liter,NRs_per_liter,236.36
2026-04-03,Diesel,cost,total_cost_noc_per_liter,NRs_per_liter,302.54
2026-04-03,Kerosene,cost,total_cost_noc_per_liter,NRs_per_liter,246.06
2026-04-03,ATF_DP,cost,total_cost_noc_per_liter,NRs_per_liter,256.75
2026-04-03,ATF_DF,cost,total_cost_noc_per_liter,NRs_per_liter,263.4
2026-04-03,LP_Gas,cost,total_cost_noc_per_liter,NRs_per_cylinder,2326.37
2026-04-03,Petrol,selling_price,retail_price_per_liter,NRs_per_liter,202
2026-04-03,Diesel,selling_price,retail_price_per_liter,NRs_per_liter,182
2026-04-03,Kerosene,selling_price,retail_price_per_liter,NRs_per_liter,182
2026-04-03,ATF_DP,selling_price,retail_price_per_liter,NRs_per_liter,251
2026-04-03,ATF_DF,selling_price,retail_price_per_liter,USD_per_liter,1.785
2026-04-03,LP_Gas,selling_price,retail_price_per_cylinder,NRs_per_cylinder,1910
2026-04-03,Petrol,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,172264.15
2026-04-03,Diesel,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,155887.82
2026-04-03,Kerosene,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,156433.17
2026-04-03,ATF_DP,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,222123.89
2026-04-03,ATF_DF,selling_price,noc_ex_depot_price_without_vat,USD_per_KL,1785
2026-04-03,LP_Gas,selling_price,noc_ex_depot_price_without_vat,NRs_per_cylinder,1395.14
2026-04-03,Petrol,border_price,rsp_india_border_raxaul,IRs_per_liter,106.94
2026-04-03,Diesel,border_price,rsp_india_border_raxaul,IRs_per_liter,93.2
2026-04-03,Kerosene,border_price,rsp_india_border_raxaul,IRs_per_liter,0
2026-04-03,ATF_DP,border_price,rsp_india_border_kolkata,IRs_per_liter,99.59
2026-04-03,ATF_DF,border_price,rsp_india_border_kolkata,USD_per_liter,855.25
2026-04-03,LP_Gas,border_price,rsp_india_border_raxaul,IRs_per_cylinder,953
2026-04-03,Petrol,border_price,rsp_india_border_nrs,NRs_per_liter,171.26
2026-04-03,Diesel,border_price,rsp_india_border_nrs,NRs_per_liter,149.26
2026-04-03,Kerosene,border_price,rsp_india_border_nrs,NRs_per_liter,0
2026-04-03,ATF_DP,border_price,rsp_india_border_nrs,NRs_per_liter,159.49
2026-04-03,ATF_DF,border_price,rsp_india_border_nrs,NRs_per_liter,0
2026-04-03,LP_Gas,border_price,rsp_india_border_nrs,NRs_per_cylinder,1526.23
2026-04-03,Petrol,border_price,rsp_nepal_border_birgunj,NRs_per_liter,199.5
2026-04-03,Diesel,border_price,rsp_nepal_border_birgunj,NRs_per_liter,179.5
2026-04-03,Kerosene,border_price,rsp_nepal_border_birgunj,NRs_per_liter,0
